"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"50",38,"Male","United States","NY","No","Yes","No","Sometimes","100-500","Yes","Yes","Yes","Yes","No","Yes","Don't know","Don't know","No","No","Yes","Some of them","Maybe","Maybe","Yes","No"
"51",27,"Trans","United States","NY","Yes","No","Yes","Often","44201","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No"
"52",33,"Male","United States","CA","No","Yes","No","Never","More than 1000","No","Yes","No","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Maybe","No","No"
"53",31,"Male","United States","TX","No","No","No","NA","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","No","No"
"54",34,"Female","United States","OR","No","Yes","Yes","Rarely","500-1000","Yes","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"55",29,"Female","United States","FL","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes"
"56",32,"Male","United States","IL","No","No","No","NA","500-1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No"
"57",31,"Male","United States","NY","No","No","No","Never","500-1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"58",40,"Male","United States","TX","No","No","Yes","Sometimes","26-100","No","Yes","No","Yes","No","No","Yes","Very difficult","No","No","Yes","Yes","Yes","Yes","No","No"
"59",34,"Male","United States","OH","No","No","No","NA","26-100","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"60",29,"Male","United States","MN","No","No","No","Never","26-100","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","No","No"
"61",24,"Male","United States","MO","No","Yes","No","Rarely","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat easy","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No"
"62",33,"Male","United States","AZ","No","No","Yes","Sometimes","44372","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","No","No"
"63",30,"Male","United States","IN","No","No","Yes","Often","44201","No","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"64",25,"Male","United States","NY","No","Yes","No","NA","26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","No","Don't know","No"
"65",33,"Male","United States","WI","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"66",29,"Male","United States","NY","No","No","No","Never","More than 1000","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No"
"67",35,"Male","United States","MO","No","Yes","No","Rarely","44372","No","Yes","Yes","Not sure","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No"
"68",35,"Male","United States","OR","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","No","No"
"69",34,"Male","United States","TN","No","Yes","No","Never","44372","Yes","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"70",32,"Male","United States","WA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat difficult","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"71",NA,"Male","United States","NY","No","No","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","No","Don't know","Yes","Don't know","Yes","No","No","No","No","Yes","No","No"
"72",28,"Male","United States","CA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"73",45,"Male","United States","MO","No","Yes","Yes","Rarely","44372","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No"
"74",32,"Male","United States","NY","No","No","No","Never","100-500","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"75",28,"Male","United States","TX","No","No","No","NA","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"76",18,"Male","United States","CT","No","No","Yes","Rarely","44201","Yes","Yes","No","No","No","No","Yes","Very easy","No","2","Some of them","No","No","No","Don't know","No"
"77",35,"Male","United States","CO","No","No","No","NA","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"78",29,"Male","United States","GA","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Yes","Yes","No","No","No","No","Don't know","No"
"79",25,"Male","United States","DC","No","No","No","NA","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","No","Don't know","No"
"80",33,"Male","United States","MN","No","Yes","Yes","Sometimes","44372","Yes","Yes","Don't know","No","Don't know","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Maybe","Yes","No"
"81",36,"Male","United States","WA","No","No","No","Often","44372","No","Yes","Yes","No","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"82",27,"Male","United States","WA","No","Yes","No","Never","500-1000","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","Yes","No","Some of them","No","No","Yes","Don't know","No"
"83",32,"Male","United States","OR","No","No","Yes","Rarely","100-500","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Yes","No","No","Yes","No","No","Don't know","No"
"84",33,"Male","United States","IL","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","No","Don't know","Very easy","Maybe","No","Yes","Some of them","No","Yes","No","No"
"85",32,"Male","United States","CA","No","No","No","Rarely","44201","Yes","Yes","No","Yes","No","No","Don't know","Very difficult","Maybe","No","Yes","Some of them","No","Yes","Don't know","No"
"86",27,"Male","United States","NE","No","No","No","0","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"87",39,"Male","United States","IA","No","No","Yes","Often","More than 1000","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Don't know","No"
"88",29,"Female","United States","MD","No","No","No","NA","44372","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","No","Don't know","No"
"89",38,"Male","United States","OR","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"90",35,"Male","United States","TX","No","No","No","Never","26-100","Yes","No","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"91",NA,"Male","United States","MN","No","No","No","NA","More than 1000","1","No","Yes","No","Don't know","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"92",30,"Female","United States","PA","No","Yes","No","NA","More than 1000","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"93",37,"Male","United States","IN","No","Yes","Yes","Rarely","100-500","No","No","Yes","Yes","Yes","Yes","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","No"
"94",23,"Male","United States","WV","No","No","No","Sometimes","44372","No","No","No","No","No","No","No","Somewhat easy","Yes","Yes","No","No","No","No","No","No"
"95",29,"Female","United States","MI","No","No","No","NA","100-500","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"96",32,"Male","United States","CA","No","Yes","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Very easy","No","No","Some of them","Some of them","No","Maybe","No","No"
"97",36,"Male","United States","IL","No","No","No","Never","44372","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"98",25,"Male","United States","IL","No","Yes","Yes","Sometimes","26-100","No","No","Don't know","No","No","Don't know","Don't know","Somewhat difficult","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"99",27,"Male","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","No","Some of them","No","Maybe","Don't know","No"
"100",26,"Male","United States","OK","No","No","No","Often","26-100","No","No","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Maybe","Some of them","Yes","No","Maybe","No","No"
"101",27,"Male","United States","UT","No","No","Yes","Rarely","26-100","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Yes","No","No","Don't know","Yes"
"102",25,"Male","United States","IL","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Very easy","Maybe","No","Some of them","No","No","No","Don't know","Yes"
"103",25,"Female","United States","NY","No","Yes","Yes","Sometimes","500-1000","No","Yes","Yes","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","Some of them","No","No","Don't know","No"
"104",31,"Male","United States","CA","No","No","No","Never","More than 1000","No","Yes","Yes","No","No","Yes","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No"
"105",26,"Male","United States","MA","No","Yes","No","Rarely","44372","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"106",33,"Female","United States","WA","Yes","Yes","Yes","Sometimes","44201","No","Yes","No","Yes","Yes","Yes","Yes","Very difficult","No","No","Some of them","Yes","No","Yes","Yes","No"
"107",34,"Male","United States","MN","No","No","No","Never","26-100","No","Yes","No","No","No","No","Don't know","Very easy","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"108",42,"Male","United States","CA","No","No","No","NA","44372","No","Yes","No","Yes","No","No","Don't know","Very difficult","Maybe","No","Yes","Yes","No","Maybe","No","No"
"109",23,"Female","United States","NC","No","No","No","NA","44372","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No"
"110",31,"Male","United States","MO","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"111",32,"Female","United States","MA","No","No","Yes","Often","44372","Yes","Yes","Yes","Not sure","Don't know","Don't know","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","Yes"
"112",45,"Female","United States","CA","No","No","Yes","Sometimes","44201","No","Yes","Yes","No","No","No","Yes","Somewhat difficult","No","No","Yes","Yes","No","No","Yes","No"
"113",33,"Male","United States","TX","No","No","No","NA","44372","Yes","Yes","Don't know","No","No","No","Don't know","Very easy","No","No","Yes","Yes","No","Maybe","Don't know","No"
"114",45,"Male","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Yes","Yes","Some of them","Some of them","No","No","Don't know","No"
"115",43,"Male","United States","WA","No","Yes","Yes","Often","More than 1000","Yes","Yes","Yes","Not sure","No","Don't know","Don't know","Very difficult","Yes","Maybe","No","No","No","No","No","No"
"116",35,"Female","United States","CA","No","Yes","Yes","Never","More than 1000","No","Yes","Yes","Not sure","Don't know","No","Yes","Somewhat easy","Maybe","No","No","No","No","No","Don't know","No"
"117",28,"Male","United States","MI","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","No","No","No","Don't know","Somewhat easy","Maybe","Maybe","Some of them","No","No","Maybe","No","No"
"118",35,"Male","United States","CA","No","No","Yes","Rarely","44372","No","Yes","No","No","No","No","Yes","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"119",35,"Female","United States","NY","No","No","No","Never","500-1000","Yes","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"120",26,"Male","United States","CA","No","No","No","Rarely","More than 1000","No","Yes","Yes","No","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","No","No"
"121",27,"Male","United States","TN","No","Yes","No","NA","44372","Yes","Yes","Yes","Yes","No","No","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Some of them","No","Maybe","Yes","No"
"122",27,"Female","United States","OR","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","No","No","No","Don't know","Very easy","No","No","Some of them","Some of them","No","No","Yes","No"
"123",34,"Female","United States","MN","No","No","Yes","Sometimes","500-1000","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","No","Yes","No"
"124",41,"Male","United States","FL","No","No","Yes","Often","44372","Yes","Yes","No","Not sure","No","No","Don't know","Very difficult","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"125",30,"Male","United States","MA","No","No","Yes","Often","26-100","No","Yes","No","Yes","No","No","Yes","Somewhat easy","Maybe","No","Yes","Yes","No","Maybe","Don't know","No"
"126",24,"Male","United States","KS","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"127",40,"Female","United States","DC","No","No","No","NA","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"128",32,"Female","United States","TX","No","Yes","Yes","Sometimes","44372","No","Yes","Don't know","No","No","No","No","Don't know","Yes","Maybe","Some of them","Some of them","No","Maybe","No","Yes"
"129",32,"Female","United States","MA","No","No","Yes","Sometimes","100-500","No","No","Yes","Yes","Don't know","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Yes","Yes","No"
"130",27,"Female","United States","MI","Yes","Yes","Yes","Sometimes","44201","Yes","Yes","No","No","Don't know","Don't know","Don't know","Very difficult","No","No","Some of them","No","No","No","Don't know","No"
"131",29,"Female","United States","NY","No","No","Yes","Never","500-1000","No","No","Yes","No","No","Don't know","Don't know","Somewhat difficult","Maybe","No","Some of them","No","No","No","Don't know","No"
"132",41,"Male","United States","VA","No","No","No","NA","26-100","No","Yes","Yes","Not sure","No","No","Don't know","Very easy","Yes","No","No","Some of them","No","No","Don't know","No"
"133",34,"Female","United States","WA","No","No","No","NA","44372","No","Yes","Yes","No","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"134",28,"Male","United States","PA","No","No","No","Rarely","44372","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","Maybe","Don't know","No"
"135",28,"Male","United States","MI","No","No","Yes","Sometimes","More than 1000","No","Yes","No","Yes","No","No","Yes","Very difficult","Yes","No","No","Some of them","No","No","No","No"
"136",23,"Male","United States","PA","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","No","Yes","No","Yes","Yes","No"
"137",24,"Male","United States","OR","No","No","No","NA","44201","No","Yes","Don't know","No","Don't know","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"138",32,"Male","United States","WA","No","No","No","Rarely","44201","Yes","Yes","No","Yes","No","No","Don't know","Very difficult","No","No","Some of them","Yes","No","Maybe","Yes","No"
"139",24,"Male","United States","PA","No","No","No","Never","44372","No","Yes","Yes","Not sure","No","Don't know","Don't know","Very easy","Maybe","No","Some of them","No","Maybe","Maybe","Yes","No"
"140",36,"Male","United States","OH","No","No","Yes","Sometimes","26-100","No","Yes","Yes","No","No","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"141",41,"Male","United States","TX","No","No","Yes","Rarely","500-1000","Yes","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","No","Maybe","Maybe","No","No"
"142",38,"Male","United States","NH","No","No","No","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Yes","No","Maybe","No","No"
"143",37,"Female","United States","NC","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"144",34,"Male","United States","FL","No","Yes","Yes","Sometimes","44201","No","Yes","No","No","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes"
"145",33,"Male","United States","CA","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No"
"146",27,"Male","United States","GA","No","No","No","Never","More than 1000","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"147",40,"Male","United States","OH","No","No","Yes","Sometimes","More than 1000","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Yes","Maybe","No","No","No","Maybe","No","Yes"
"148",21,"Male","United States","KY","No","No","Yes","Often","44372","No","No","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No"
"149",32,"Male","United States","NC","No","Yes","Yes","Sometimes","44201","Yes","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","No","Yes","Don't know","No"
"150",29,"Female","United States","NY","No","Yes","Yes","Rarely","500-1000","Yes","No","Yes","Yes","Yes","Don't know","Yes","Don't know","Maybe","No","Some of them","No","Maybe","Yes","Don't know","No"
"151",23,"Male","United States","AL","No","Yes","Yes","Sometimes","26-100","Yes","No","Don't know","No","No","Don't know","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","No","Yes","Yes","No"
"152",28,"Male","United States","GA","No","Yes","No","NA","100-500","No","Yes","Yes","No","No","Don't know","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Yes","Yes"
